minutes_working_since_last_maintenance,maintenance,chlorine_level_ppm,electric_supply,provider,team
0,0,4.34641,17.35584,providerA,teamA
15,0,1.99167,12.22593,providerA,teamA
30,0,4.77178,16.48276,providerA,teamA
45,0,3.51181,11.38944,providerA,teamA
60,0,4.61289,11.49285,providerA,teamA
75,0,4.6959,17.26915,providerA,teamA
90,0,2.56902,11.54472,providerA,teamA
105,0,2.36348,14.40009,providerA,teamA
120,0,3.14134,11.53901,providerA,teamA
135,0,1.15469,15.06858,providerA,teamA
150,0,2.5225,7.77472,providerA,teamA
165,0,2.69532,18.62335,providerA,teamA
180,0,3.66517,12.15803,providerA,teamA
195,0,1.50655,9.5116,providerA,teamA
210,0,4.9418,16.49823,providerA,teamA
225,0,1.77044,10.25929,providerA,teamA
240,0,3.96225,16.78376,providerA,teamA
255,0,3.15079,12.05458,providerA,teamA
270,0,0.11379,19.67938,providerA,teamA
285,0,3.40982,16.07195,providerA,teamA
300,0,4.90017,8.79027,providerA,teamA
315,0,2.66481,15.82213,providerA,teamA
330,0,3.05986,17.7078,providerA,teamA
345,0,4.70391,13.79019,providerA,teamA
360,0,1.48056,18.5352,providerA,teamA
375,0,4.05693,5.66793,providerA,teamA
390,0,1.02574,4.32488,providerA,teamA
405,0,1.03124,13.33755,providerA,teamA
420,0,1.87006,8.99973,providerA,teamA
435,0,0.0856,16.44834,providerA,teamA
450,0,3.32777,17.74842,providerA,teamA
465,0,3.18337,19.17887,providerA,teamA
480,0,4.31804,12.07488,providerA,teamA
495,0,4.00574,7.29979,providerA,teamA
510,0,2.71247,6.81784,providerA,teamA
525,0,1.49223,10.86186,providerA,teamA
540,0,2.93862,9.84959,providerA,teamA
555,0,1.1058,13.745,providerA,teamA
570,0,2.60194,18.94334,providerA,teamA
585,0,3.72687,6.96614,providerA,teamA
600,0,1.51142,16.60273,providerA,teamA
615,0,0.22887,12.25776,providerA,teamA
630,0,3.60944,19.00044,providerA,teamA
645,0,4.8876,5.06942,providerA,teamA
660,0,4.78808,16.0185,providerA,teamA
675,0,2.70786,7.83839,providerA,teamA
690,0,2.84754,15.68808,providerA,teamA
705,0,2.47072,4.00851,providerA,teamA
720,0,2.98168,16.03986,providerA,teamA
735,0,4.03159,18.45612,providerA,teamA
750,0,0.23097,7.16258,providerA,teamA
765,0,2.52359,11.53299,providerA,teamA
780,0,3.81507,17.62417,providerA,teamA
795,0,1.14276,19.77874,providerA,teamA
810,0,3.34188,15.37662,providerA,teamA
825,0,2.44921,14.31008,providerA,teamA
840,0,4.83388,5.46638,providerA,teamA
855,0,4.90369,17.27351,providerA,teamA
870,0,3.70237,8.00241,providerA,teamA
885,0,3.87907,13.83322,providerA,teamA
900,0,3.34487,13.94408,providerA,teamA
915,0,0.40755,15.65991,providerA,teamA
930,0,3.04106,7.93481,providerA,teamA
945,0,4.81128,11.33191,providerA,teamA
960,0,0.38797,14.66699,providerA,teamA
975,0,4.96291,11.56746,providerA,teamA
990,0,1.94214,7.56573,providerA,teamA
1005,0,1.19787,8.58081,providerA,teamA
1020,0,0.91628,10.59106,providerA,teamA
1035,0,3.16399,18.43546,providerA,teamA
1050,0,1.77219,6.46866,providerA,teamA
1065,0,1.05786,9.07222,providerA,teamA
1080,0,4.67143,13.22003,providerA,teamA
1095,0,2.76185,5.8742,providerA,teamA
1110,0,3.38059,14.26098,providerA,teamA
1125,0,3.07267,13.68624,providerA,teamA
1140,0,3.66788,10.78282,providerA,teamA
1155,0,4.0256,15.06421,providerA,teamA
1170,0,2.34233,14.91151,providerA,teamA
1185,0,2.51823,9.59986,providerA,teamA
1200,0,3.12204,11.57559,providerA,teamA
1215,0,4.97451,11.75815,providerA,teamA
1230,0,1.0724,16.97455,providerA,teamA
1245,0,2.69705,17.2854,providerA,teamA
1260,0,3.00257,9.81998,providerA,teamA
1275,0,2.18038,18.70023,providerA,teamA
1290,0,3.55119,12.04964,providerA,teamA
1305,0,2.88824,5.49671,providerA,teamA
1320,0,0.21651,4.31874,providerA,teamA
1335,0,1.95438,15.46577,providerA,teamA
1350,0,1.30137,22.96577,providerA,teamA
1365,0,4.2346,30.61577,providerA,teamA
1380,0,3.63364,38.41577,providerA,teamA
1395,0,1.99556,46.36577,providerA,teamA
1410,0,0.92763,54.46577,providerA,teamA
1425,0,0.87622,62.71577,providerA,teamA
0,0,3.63112,56.71577,providerA,teamA
15,0,1.74301,50.86577,providerA,teamA
30,0,4.08022,45.16577,providerA,teamA
45,0,2.603,39.61577,providerA,teamA
60,0,0.28697,34.21577,providerA,teamA
75,0,0.61435,28.96577,providerA,teamA
90,0,0.8475,23.86577,providerA,teamA
105,0,3.64041,18.91577,providerA,teamA
120,1,4.50695,14.11577,providerA,teamA
15,0,4.27115,9.57018,providerA,teamA
30,0,2.26766,12.99284,providerA,teamA
45,0,0.48732,4.46765,providerA,teamA
60,0,1.61433,18.76813,providerA,teamA
75,0,0.20894,13.88576,providerA,teamA
90,0,4.40553,11.01898,providerA,teamA
105,0,3.83399,10.25271,providerA,teamA
120,0,4.24199,11.15688,providerA,teamA
135,0,3.79291,16.79073,providerA,teamA
150,0,0.78354,18.84952,providerA,teamA
165,0,1.58151,9.86609,providerA,teamA
180,0,1.84906,10.44057,providerA,teamA
195,0,1.51746,19.28214,providerA,teamA
210,0,2.00031,11.99546,providerA,teamA
225,0,4.76253,18.2277,providerA,teamA
240,0,2.6674,6.10572,providerA,teamA
255,0,2.57667,8.75191,providerA,teamA
270,0,3.55763,10.76905,providerA,teamA
285,0,4.81676,16.79339,providerA,teamA
300,0,2.72381,15.81126,providerA,teamA
315,0,2.00388,12.85585,providerA,teamA
330,0,4.54787,13.59659,providerA,teamA
345,0,1.61125,17.78395,providerA,teamA
360,0,1.9803,14.2678,providerA,teamA
375,0,2.00619,15.89136,providerA,teamA
390,0,3.02548,14.91527,providerA,teamA
405,0,2.69256,10.97756,providerA,teamA
420,0,2.73511,18.12875,providerA,teamA
435,0,3.63149,13.84904,providerA,teamA
450,0,2.83983,13.25265,providerA,teamA
465,0,0.44326,8.49136,providerA,teamA
480,0,4.90072,9.78266,providerA,teamA
495,0,4.826,15.07705,providerA,teamA
510,0,3.95851,14.77464,providerA,teamA
525,0,4.99872,16.80627,providerA,teamA
540,0,4.53946,6.01838,providerA,teamA
555,0,2.03247,8.74699,providerA,teamA
570,0,1.98119,16.72831,providerA,teamA
585,0,2.57958,11.30484,providerA,teamA
600,0,2.89883,9.61927,providerA,teamA
615,0,0.60936,11.62573,providerA,teamA
630,0,0.25315,16.31631,providerA,teamA
645,0,0.72014,11.16587,providerA,teamA
